name,city_name,address,email,website,phone_number,fax_number,top_tier_firm_rankings,firm_rankings
Withers LLP,London practice areas,Withers LLP 20 Old Bailey LONDON EC4M 7AN England,enquiries.uk@withersworldwide.com,https://www.withersworldwide.com,+442075976364,+442075976543,"['Agriculture and estates', 'Commercial litigation: mid-market', 'Contentious trusts and probate', 'Court of protection', 'Family', 'M&A: smaller deals, up to £50m', 'Personal tax, trusts and probate', 'Senior executives']","['Charities and not-for-profit', 'Family: mediation', 'Residential property', 'Venture capital', 'Art and cultural property', 'Financial services: contentious', 'Public international law', 'Reputation management', 'Education: institutions', 'Fraud: civil', 'Professional negligence', 'Banking litigation: investment and retail', 'Education: schools', 'International arbitration', 'Employers', 'Immigration']"
Wrigleys Solicitors LLP,Yorkshire And The Humber,Wrigleys Solicitors LLP 19 COOKRIDGE STREET LEEDS LS2 3AG England,thepartners@wrigleys.co.uk,https://www.wrigleys.co.uk,01132446100,01132446101,"['Agriculture and estates', 'Charities and not-for-profit', 'Personal tax, trusts and probate']","['Education', 'Pensions', 'Transport', 'Employment: Leeds and West Yorkshire; North Yorkshire', 'Charities and not-for-profit', 'Charities and not-for-profit', 'Court of protection']"
Wortley Byers LLP,South East,Wortley Byers LLP CATHEDRAL PLACE BRENTWOOD CM14 4ES England,hello@teeslaw.com,https://www.teeslaw.com,01277268368,01277268330,"['Agriculture and estates', 'Commercial property: Essex', 'Family: Essex', 'Personal injury and clinical negligence: claimant']","['Commercial litigation: Beds, Bucks, Herts, Middx', 'Commercial litigation: Essex', 'Corporate and commercial: Essex', 'Employment: Beds, Bucks, Herts, Middx', 'Employment: Essex', 'Personal injury and clinical negligence: claimant', 'Personal tax, trusts and probate: Beds, Bucks, Herts, Middx', 'Personal tax, trusts and probate: Essex', 'Commercial property: Beds, Bucks, Herts, Middx', 'Family: Beds, Bucks, Herts, Middx', 'Contentious trusts and probate', 'Insolvency and corporate recovery', 'Intellectual property', 'Public sector', 'Agriculture and estates', 'Commercial litigation: Cambridge', 'Contentious trusts and probate', 'Personal tax, trusts and probate: Cambridge', 'Commercial property: Cambridge', 'Family']"
Venner Shipley LLP,East Anglia,"Venner Shipley LLP BYRON HOUSE, CAMBRIDGE BUSINESS PARK COWLEY ROAD CAMBRIDGE CB4 0WZ England",mail@vennershipley.co.uk,http://www.vennershipley.co.uk,01223437979,01223437980,['PATMA: Patent attorneys'],"['Electoral', 'PATMA: Trade mark attorneys', 'Intellectual property: trade marks, copyright and design']"
Winckworth Sherwood LLP,North West,"Winckworth Sherwood LLP 4TH FLOOR, QUAY WEST AT MEDIACITY UK TRAFFORD WHARF ROAD, TRAFFORD PARK MANCHESTER M17 1HH England",info@wslaw.co.uk,http://www.wslaw.co.uk,02075935000,02075935099,"['Infrastructure (parliamentary)', 'Commercial property: Thames Valley, Berks, Oxon, M4/M40', 'Senior executives']","['Planning and environment', 'Charities and not-for-profit', 'Partnership', 'Planning', 'Rail', 'Social housing: local authorities and registered providers', 'Commercial property: development', 'Education: schools', 'Licensing', 'Local government', 'Property litigation', 'Social housing: finance', 'Family', 'Personal tax, trusts and probate', 'Construction: non-contentious', 'Employers']"
Vardags,East Anglia,Vardags 1 ST. MARY'S PASSAGE CAMBRIDGE CB2 3PQ England,details@vardags.com,https://www.vardags.com,01223581175,01223281488,[],"['Family', 'Family', 'Family', 'Crime: general', 'Reputation management']"
Womble Bond Dickinson (UK) LLP,South East,Womble Bond Dickinson (UK) LLP OCEANA HOUSE 39-49 COMMERICAL ROAD SOUTHAMPTON SO15 1GA England,info@wbd-uk.com,https://www.womblebonddickinson.com,03454150000,03454158200,"['Banking and finance', 'Commercial litigation: Hampshire', 'Commercial property: Hampshire', 'Corporate and commercial: Hampshire', 'Employment: Hampshire', 'IT and telecoms', 'Professional negligence', 'Agriculture and estates', 'Banking and finance', 'Charities and not-for-profit', 'Commercial litigation: Newcastle', 'Commercial property: Dorset, Devon and Cornwall', 'Commercial property: Newcastle', 'Construction', 'Contentious trusts and probate', 'Corporate and commercial: Newcastle', 'Corporate tax', 'Debt recovery', 'Education', 'Employment', 'Employment: Bristol', 'Employment', 'Health and safety', 'Insolvency and corporate recovery', 'Intellectual property', 'IT and telecoms', 'Pensions', 'Personal tax, trusts and probate', 'Property litigation', 'Property litigation', 'Social housing']","['Property litigation', 'Construction', 'Banking and finance', 'Banking and finance', 'Commercial litigation: Bristol', 'Commercial litigation: Dorset, Devon and Cornwall', 'Commercial property: Bristol', 'Commercial property: Leeds, West Yorkshire, North Yorkshire', 'Corporate and commercial: Bristol', 'Corporate and commercial: Leeds, West Yorkshire, North Yorkshire', 'Debt recovery', 'Energy', 'Energy, project finance and PFI', 'Environment', 'EU and competition', 'Health and safety', 'Insolvency and corporate recovery', 'IT and telecoms', 'Local government', 'Personal tax, trusts and probate', 'Planning', 'Planning', 'Planning and environment', 'Rail', 'Agriculture and estates', 'Commercial property: investment', 'Corporate tax', 'Data protection, privacy and cybersecurity', 'Education: institutions', 'Education: schools', 'Local government', 'Local government', 'Pensions: dispute resolution', 'Personal tax, trusts and probate', 'Power (including electricity, nuclear and renewables)', 'Professional negligence', 'Professional negligence', 'Charities and not-for-profit', 'Commercial property: corporate occupiers', 'Commercial property: development', 'Construction: non-contentious', 'Contentious trusts and probate', 'Employment: Leeds and West Yorkshire; North Yorkshire', 'Fintech', 'Oil and gas', 'Partnership', 'PATMA: Trade mark attorneys', 'Pensions (non-contentious)', 'Product liability: defendant', 'Retail and consumer', 'Commercial litigation: Leeds, West Yorkshire, North Yorkshire', 'Construction: contentious', 'Intellectual property: patents (contentious and non-contentious)', 'Intellectual property: trade marks, copyright and design', 'Personal tax, trusts and probate', 'Social housing: local authorities and registered providers', 'Financial services: non-contentious/regulatory', 'Property finance', 'Clinical negligence and personal injury: defendant', 'Immigration']"
Womble Bond Dickinson (UK) LLP,Yorkshire And The Humber,Womble Bond Dickinson (UK) LLP 1 WHITEHALL RIVERSIDE LEEDS LS1 4BN England,info@wbd-uk.com,https://www.womblebonddickinson.com,03454150000,03449841501,"['Intellectual property', 'Agriculture and estates', 'Banking and finance', 'Banking and finance', 'Charities and not-for-profit', 'Commercial litigation: Hampshire', 'Commercial litigation: Newcastle', 'Commercial property: Dorset, Devon and Cornwall', 'Commercial property: Hampshire', 'Commercial property: Newcastle', 'Construction', 'Contentious trusts and probate', 'Corporate and commercial: Hampshire', 'Corporate and commercial: Newcastle', 'Corporate tax', 'Debt recovery', 'Education', 'Employment', 'Employment: Bristol', 'Employment: Hampshire', 'Employment', 'Health and safety', 'Insolvency and corporate recovery', 'IT and telecoms', 'IT and telecoms', 'Pensions', 'Personal tax, trusts and probate', 'Professional negligence', 'Property litigation', 'Property litigation', 'Social housing']","['Banking and finance', 'Commercial property: Leeds, West Yorkshire, North Yorkshire', 'Corporate and commercial: Leeds, West Yorkshire, North Yorkshire', 'Insolvency and corporate recovery', 'Planning', 'Local government', 'Personal tax, trusts and probate', 'Employment: Leeds and West Yorkshire; North Yorkshire', 'Commercial litigation: Leeds, West Yorkshire, North Yorkshire', 'Banking and finance', 'Commercial litigation: Bristol', 'Commercial litigation: Dorset, Devon and Cornwall', 'Commercial property: Bristol', 'Corporate and commercial: Bristol', 'Debt recovery', 'Energy', 'Energy, project finance and PFI', 'Environment', 'EU and competition', 'Health and safety', 'IT and telecoms', 'Local government', 'Personal tax, trusts and probate', 'Planning', 'Planning and environment', 'Property litigation', 'Rail', 'Agriculture and estates', 'Commercial property: investment', 'Corporate tax', 'Data protection, privacy and cybersecurity', 'Education: institutions', 'Education: schools', 'Local government', 'Pensions: dispute resolution', 'Power (including electricity, nuclear and renewables)', 'Professional negligence', 'Professional negligence', 'Charities and not-for-profit', 'Commercial property: corporate occupiers', 'Commercial property: development', 'Construction', 'Construction: non-contentious', 'Contentious trusts and probate', 'Fintech', 'Oil and gas', 'Partnership', 'PATMA: Trade mark attorneys', 'Pensions (non-contentious)', 'Product liability: defendant', 'Retail and consumer', 'Construction: contentious', 'Intellectual property: patents (contentious and non-contentious)', 'Intellectual property: trade marks, copyright and design', 'Personal tax, trusts and probate', 'Social housing: local authorities and registered providers', 'Financial services: non-contentious/regulatory', 'Property finance', 'Clinical negligence and personal injury: defendant', 'Immigration']"
Ward Hadaway,North West,Ward Hadaway THE OBSERVATORY CHAPEL WALKS MANCHESTER M2 1HL England,enquiries@wardhadaway.com,http://www.wardhadaway.com,01618373800,,"['Banking and finance', 'Commercial litigation: Newcastle', 'Commercial property: Newcastle', 'Corporate and commercial: Newcastle', 'Corporate tax', 'Employment', 'Energy', 'Corporate and commercial: Elsewhere in the North', 'Licensing', 'Health', 'Insolvency and corporate recovery', 'IT and telecoms', 'Personal injury and clinical negligence: defendant', 'Planning and environment', 'Property litigation']","['Family', 'Commercial litigation: Manchester', 'Corporate and commercial: Manchester', 'Charities and not-for-profit', 'Construction', 'Contentious trusts and probate', 'Debt recovery', 'Education', 'Family', 'Intellectual property', 'Personal tax, trusts and probate', 'Social housing', 'Social housing', 'Agriculture and estates', 'Banking and finance', 'Commercial property: Leeds, West Yorkshire, North Yorkshire', 'Employment: Leeds and West Yorkshire; North Yorkshire', 'IT and telecoms', 'Personal tax, trusts and probate', 'Corporate and commercial: Leeds, West Yorkshire, North Yorkshire', 'Family: Leeds, West Yorkshire, North Yorkshire', 'Intellectual property']"
Venner Shipley LLP,North West,Venner Shipley LLP LOWRY HOUSE 17 MARBLE STREET MANCHESTER M2 3AW England,,,01616614582,,['PATMA: Patent attorneys'],"['Electoral', 'PATMA: Trade mark attorneys', 'Intellectual property: trade marks, copyright and design']"
Taylor Rose MW,North West,Taylor Rose MW 5 MURRAY ROAD WORKINGTON CA14 2AD England,enquiries@ttkw.co.uk,https://www.taylor-rose.co.uk,02035404444,02035404445,[],[]
Slater and Gordon,North West,"Slater and Gordon Suite 3.1, 3rd Floor Exchange Court 1 DALE STREET L2 2PP England",enquiries@slatergordon.co.uk,https://www.slatergordon.co.uk,08009169046,,"['Employment: employee/union firms', 'Employee/unions', 'Personal injury and clinical negligence: defendant', 'Personal injury and clinical negligence: claimant', 'Personal injury and clinical negligence: claimant']","['Crime: fraud', 'Crime: general', 'Family', 'Personal injury and clinical negligence: claimant', 'Clinical negligence and personal injury: claimant', 'Employment', 'Senior executives', 'Clinical negligence: claimant', 'Court of protection', 'Crime: general', 'General crime and fraud', 'Personal injury: claimant', 'Civil liberties and human rights', 'General crime and fraud', 'Personal injury and clinical negligence: claimant', 'Family', 'Travel']"
Slater Heelis,North West,Slater Heelis 86 DEANSGATE MANCHESTER M3 2ER England,intouch@slaterheelis.co.uk,https://www.slaterheelis.co.uk,01619693131,01616721295,[],"['Commercial property: elsewhere in the North West', 'Family', 'Health', 'Commercial litigation: elsewhere in the North West', 'Contentious trusts and probate', 'Corporate and commercial: elsewhere in the North West', 'Commercial property: Manchester', 'Corporate and commercial: Manchester', 'Employment', 'Property litigation', 'Construction']"
Richard Nelson LLP,North West,Richard Nelson LLP PALL MALL COURT 61-67 KNG STREET MANCHESTER M2 4PD England,,,08452162000,,[],"['Crime: General crime and fraud', 'Professional discipline']"
Serious Law LLP,North West,Serious Law LLP SHERRINGTON HOUSE 66 CHORLEY STREET BOLTON BL1 4AL England,mailbox@seriouslaw.co.uk,https://www.seriouslaw.co.uk,01204454355,01204362988,[],['Personal injury and clinical negligence: claimant']
Vardags,North West,Vardags SHIP CANAL HOSUE 98 KING STREET MANCHESTER M2 4WU England,contact@vardags.com,https://vardags.com/office/manchester,01615329509,,[],"['Family', 'Family', 'Family', 'Crime: general', 'Reputation management']"
Scott Rees & Co,North West,Scott Rees & Co 2 The Parks Newton-le-Willows WA12 0JQ England,info@scottrees.co.uk,https://www.scottrees.com,01695722222,01695733333,[],[]
Peninsula,North West,Peninsula The Peninsula Victoria Place Manchester M4 4FB England,,,,,[],[]
SAS Daniels LLP,North West,SAS Daniels LLP 3 VICAR'S LANE CHESTER CH1 1QX England,,http://www.sasdaniels.co.uk,01244305900,01244305901,['Corporate and commercial: elsewhere in the North West'],"['Agriculture and estates', 'Commercial property: elsewhere in the North West', 'Education', 'Family', 'Personal tax, trusts and probate', 'Commercial litigation: elsewhere in the North West', 'Employment']"
Pearson Solicitors and Financial Advisers LLP,North West,Pearson Solicitors and Financial Advisers LLP 31 QUEEN STREET OLDHAM OL1 1RD England,,http://www.pearsonlegal.co.uk/,,,[],[]
PwC LLP,North West,PwC LLP 101 BARBIROLLI SQUARE MANCHESTER M2 3PW England,,http://www.pwc.co.uk,:01612452000,,"['International business reorganisations', 'Hedge funds', 'Environment', 'M&A: smaller deals, up to £50m']","['Employment', 'Customs and excise', 'Data protection, privacy and cybersecurity', 'Tax litigation and investigations', 'VAT and indirect tax', 'Pensions (non-contentious)', 'Commercial property: investment', 'Employers', 'Commercial litigation: mid-market', 'Regulatory investigations and corporate crime (advice to corporates)', 'Property finance', 'Immigration']"
Plexus Law,North West,"Plexus Law 21ST FLOOR,CITY TOWER PICCADILLY PLAZA MANCHESTER M1 4BT England",marketing@plexuslaw.co.uk,https://www.plexuslaw.co.uk,01612457900,08452454001,['Transport'],"['Personal injury and clinical negligence: defendant', 'Health and safety', 'Personal injury and clinical negligence: defendant', 'Personal injury and clinical negligence: defendant', 'Personal injury: defendant', 'Health and safety', 'Health and safety', 'Professional negligence', 'Insurance and reinsurance litigation', 'Clinical negligence and personal injury: defendant', 'Travel']"
Potter Rees Dolan,North West,Potter Rees Dolan 12 COMMERCIAL STREET MANCHESTER M15 4PZ England,hughpotter@prd.uk.com,https://www.prd.uk.com,01612375888,01612375999,[],['Personal injury and clinical negligence: claimant']
TLT,North West,TLT 3 HARDMAN SQUARE MANCHESTER M3 3EB England,generalenquiries@TLTsolicitors.com,http://www.tltsolicitors.com,03330060000,03330060711,"['Employment', 'Debt recovery', 'Employment: Bristol', 'EU and competition', 'Family', 'Health and safety', 'Insolvency and corporate recovery', 'IT and telecoms', 'Licensing', 'Pensions', 'Personal tax, trusts and probate']","['Banking litigation', 'Health and safety', 'Intellectual property', 'IT and telecoms', 'Commercial property: Manchester', 'Corporate and commercial: Manchester', 'Pensions', 'Property litigation', 'Banking and finance', 'Commercial litigation: Manchester', 'Construction', 'Insolvency and corporate recovery', 'Local government', 'Planning and environment', 'Banking and finance', 'Commercial litigation: Bristol', 'Commercial property: Bristol', 'Construction', 'Corporate and commercial: Bristol', 'Corporate tax', 'Energy, project finance and PFI', 'Intellectual property', 'Licensing', 'Planning', 'Professional negligence', 'Property litigation', 'Social housing', 'Environment', 'IT and telecoms', 'Local government', 'Mediators', 'Pensions: dispute resolution', 'Emerging markets', 'Financial services: contentious', 'Franchising', 'Professional negligence', 'Social housing: local authorities and registered providers', 'Fraud: civil', 'Intellectual property: trade marks, copyright and design', 'Pensions (non-contentious)', 'Property litigation', 'Banking litigation: investment and retail', 'Financial services: non-contentious/regulatory']"
Olliers,North West,Olliers CASTLEFIELD CHAMBERS 11 DUKE STREET MANCHESTER M3 4NF England,matthewclaughton@olliers.com,https://www.olliers.com,01618341515,01618390804,"['Crime: fraud', 'Crime: general']",[]
Shoosmiths LLP,North West,"Shoosmiths LLP THE XYZ BUILDING 2 HARDMAN BOULEVARD, SPINNINGFIELDS MANCHESTER M3 3AZ England",manchester@shoosmiths.co.uk,https://www.shoosmiths.co.uk,03700865600,03700863001,"['EU and competition', 'Aviation', 'Banking and finance', 'Commercial litigation: Hampshire', 'Commercial litigation: Thames Valley, Berks, Oxon, M4/M40', 'Commercial property: Beds, Bucks, Herts, Middx', 'Commercial property: Nottingham and Derby', 'Commercial property: Thames Valley, Berks, Oxon, M4/M40', 'Contentious trusts and probate', 'Corporate and commercial: Beds, Bucks, Herts, Middx', 'Corporate and commercial: Hampshire', 'Corporate and commercial: Nottingham and Derby', 'Corporate and commercial: Thames Valley, Berks, Oxon, M4/M40', 'Corporate tax', 'Debt recovery', 'Debt recovery', 'Debt recovery', 'Employment', 'Employment: Thames Valley, Berks, Oxon, M4/M40', 'Environment and planning', 'General crime and fraud', 'Commercial property: elsewhere in the East Midlands', 'Health and safety', 'Health and safety', 'Health and safety', 'Immigration', 'IT and telecoms', 'IT and telecoms', 'Pensions', 'Personal injury and clinical negligence: claimant', 'Personal tax, trusts and probate: Beds, Bucks, Herts, Middx']","['Commercial property: Manchester', 'Contentious trusts and probate', 'Debt recovery', 'Planning and environment', 'Professional negligence', 'Property litigation', 'Banking and finance', 'Corporate and commercial: Manchester', 'Insolvency and corporate recovery', 'Intellectual property', 'Pensions', 'Sport', 'Commercial litigation: Manchester', 'Employment', 'Family', 'Construction', 'Charities and not-for-profit', 'Commercial litigation: Birmingham', 'Commercial property: Birmingham', 'Commercial property: Hampshire', 'Construction', 'Corporate and commercial: Birmingham', 'Corporate tax', 'Debt recovery', 'Employment', 'Employment: Beds, Bucks, Herts, Middx', 'Employment: Hampshire', 'Family: Beds, Bucks, Herts, Middx', 'Family: Birmingham', 'Infrastructure and energy', 'Insolvency and corporate recovery', 'Personal injury and clinical negligence: claimant', 'Personal injury and clinical negligence: claimant', 'Planning', 'Professional negligence: claimant', 'Property litigation', 'Property litigation', 'Property litigation', 'Social housing', 'Venture capital', 'Banking and finance', 'Banking and finance', 'Banking litigation', 'Commercial litigation: Beds, Bucks, Herts, Middx', 'Commercial property: corporate occupiers', 'Commercial property: Leeds, West Yorkshire, North Yorkshire', 'Commercial property: Sheffield, South Yorkshire', 'Construction', 'Corporate and commercial: Leeds, West Yorkshire, North Yorkshire', 'Court of protection', 'Crime: fraud', 'Education', 'Employment: Leeds and West Yorkshire; North Yorkshire', 'Environment', 'Hospitality and leisure', 'Intellectual property', 'Intellectual property: trade marks, copyright and design', 'IT and telecoms', 'Product liability: defendant', 'Retail and consumer', 'TMT', 'Asset based lending', 'Commercial litigation: Leeds, West Yorkshire, North Yorkshire', 'Commercial litigation: mid-market', 'Employee share schemes', 'Family: Leeds, West Yorkshire, North Yorkshire', 'Healthcare', 'Intellectual property', 'Personal tax, trusts and probate: Thames Valley, Berks, Oxon, M4/M40', 'Planning', 'Energy and infrastructure', 'Environment', 'Property finance', 'Sport', 'EU and competition']"
